a	而 二 啊
b	不 把 比
bm	变 边
c	才 此 曾
e	的 到 都
ea	大 打
ee	德
f	能 发 分
g	个 给 更
gr	关 管
h	和 会 还
i	出 成 处
j	就 见 进
ji	机 及
k	看 可 可以
l	了 来 里
m	没 吗 没有
n	你 那 你们
o	也 哦
p	得 道 道：“
q	去 起 前
r	人 让 如果
s	三 时 送
t	他 她 它
u	是 上 说
ui	时 事
ub	手 收
v	这 着 真
w	我 为 为什么
x	小 下 想
y	一 有 要
yu	与 语
yv	与 语
yb	又 右
yo	又 右
z	在 再 走
zo	做 左
zlci	再次
ybui	有时 又是
viek	知道 直到
taee	他的 她的
uijm	时间 事件
uijz	时间 事件
yivi	意志 抑制
yiug	医生
uiwu	事物 食物
viiu	指出
uiui	事实 试试
uiqu	失去 市区
uiqv	失去 市区
xyui	形式 形势
rfui	认识
vgui	正式 证实
yiui	意识 仪式
jyli	经历 精力
jiui	即使 及时
jiqi	机器 极其
uiyi	示意 失忆
jiyu	机遇 给予 基于
jiyv	机遇 给予 基于
viey	制定 指定
yuqi	语气 预期 与其
yvqi	语气 预期 与其
vjui	展示
uipn	视频
yiqi	仪器
uiji	实际 世纪 时机
vgvi	政治 整治 正直
uixy	实行
jmjx	简介 间接
jzjx	简介 间接
wzvi	位置 未知
wkvi	位置 未知
rhta	让他 让她
xnui	消失 小时
gege	哥哥
hvbk	汇报
hnbk	汇报
uiqi	时期 使其
yiyr	医院 意愿
ueji	设计 射击
xmui	现实 显示 限时
veui	这是 这时
uiyj	实验 试验
iufa	出发 触发
lmjx	连接 链接
ybem	有点 优点
yoem	有点 优点
igwz	成为 称为
igwk	成为 称为
ugmy	生命 声明
ugmd	生命 声明
ubji	手机 收集
xtyr	学院 学员
xlyr	学院 学员
lmxi	联系 练习
egji	等级
uhhl	伤害
uqhl	伤害
rfwu	任务
rlwu	任务
vumy	著名
vumd	著名
hvfu	恢复
hnfu	恢复
jmce	检测 监测
jzce	检测 监测
igeu	程度
vihv	只会 智慧
viui	只是
eali	大力 搭理
ziyr	资源
uixm	实现 视线 事先
wzso	萎缩 猥琐 畏缩
wkso	猥琐 畏缩 萎缩
uiih	市场 时常
bzjy	背景
jyji	经济 竞技
vgfu	政府
qrli	权力 权利
moui	模式 漠视

csna	从那 从哪
ekna	到那 到哪
emna	点那 点哪
fhna	放那 放哪
gena	搁那 搁哪
ilna	拆那 拆哪
kjna	看那 看哪
mlna	买那 买哪
naar	那儿 哪儿
nabf	那本 哪本
nabs	那本 哪本
nabj	那般 哪般
nabm	那边 哪边
nabu	那不 那部
naci	那次 哪次
naem	那点 哪点
naes	那栋 哪栋
nafh	那方 哪方
nafi	那一 哪一
nagb	那狗 哪够
nage	那个 哪个
nagf	那根 哪根
nahl	那还 哪还
naih	那场 哪场
naji	那几 哪几
najm	那件 那间
najz	那件 那间
najo	那几 哪几
naju	那句 那具
najv	那句 那具
najw	那家 哪家
najf	那家 哪家
nake	那颗 那棵
nakj	那看 哪堪
nakr	那款 哪款
naky	那块 哪块
nali	那里 哪里
nalz	那类 哪类
naml	那买 哪买
nang	那能 哪能
nanm	那年 哪年
napa	哪怕 那怕
napm	那片 那篇
nasb	那艘 哪艘
naso	那所 哪所
nasr	那算 哪算
natb	那头 哪头
natc	那条 哪条
natk	那套 哪套
natl	那台 哪台
natm	那天 哪天
naui	那是 那时
navf	那阵 那真
navh	那张 哪张
navi	那只 哪知
navk	那招 哪找
navs	那种 哪种
nawz	那位 哪位
nawk	那位 哪位
naxd	那项 哪像
naxx	那些 哪些
nayb	那有 哪有
nayo	那有 哪有
nayh	那样 哪样
nayi	那一 哪一
uina	是那 是哪
vena	这那 这哪
vuna	住那 住哪
whna	往那 往哪
ysna	用那 用哪
zbna	走那 走哪
zona	坐那 做那
